"rivalryno","rivalryname","sidea","sideb","styear","endyear","region","type1","type2","type3"
1,"Austria-France","Austria","France",1494,1918,"European GPs","spatial","positional",
2,"Austria-Ottoman Empire","Austria","Ottoman Empire",1494,1908,"European GPs","spatial","positional",
4,"France-Spain","France","Spain",1494,1700,"European GPs","positional","spatial",
3,"Britain-France 1","Great Britain","France",1494,1716,"European GPs","spatial","positional",
5,"Ottoman Empire-Spain","Ottoman Empire","Spain",1494,1585,"European GPs","spatial","positional",
6,"Ottoman Empire-Venice","Ottoman Empire","Venice",1494,1717,"European GPs","spatial","positional",
7,"Portugal-Spain","Portugal","Spain",1494,1580,"European GPs","spatial","positional",
8,"Portugal-Venice","Portugal","Venice",1494,1580,"European GPs","positional",,
9,"Ottoman Empire-Portugal","Ottoman Empire","Portugal",1501,1580,"European GPs","positional",,
10,"Britain-Spain 1","Britain","Spain",1568,1667,"European GPs","positional","spatial",
11,"Netherlands-Spain","Netherlands","Spain",1579,1648,"European GPs","positional","spatial",
12,"Britain-Netherlands","Britain","Netherlands",1651,1688,"European GPs","positional",,
13,"France-Netherlands","France","Netherlands",1668,1713,"European GPs","positional","spatial",
14,"Ottoman Empire-Russia","Ottoman Empire","Russia",1668,1918,"European GPs","spatial","positional",
15,"Russia-Sweden","Russia","Sweden",1700,1815,"European GPs","spatial","positional",
16,"Austria-Spain","Austria","Spain",1701,1793,"European GPs","spatial","positional",
17,"Britain-Spain 2","Britain","Spain",1701,1808,"European GPs","positional","spatial",
18,"Britain-France 2","Britain","France",1731,1904,"European GPs","spatial","positional",
19,"France-Russia","France","Russia",1732,1894,"European GPs","positional",,
20,"Austria-Prussia","Austria","Prussia",1740,1870,"European GPs","spatial","positional",
21,"Prussia-Russia 1","Prussia","Russia",1744,1807,"European GPs","spatial","positional",
22,"France-Prussia","France","Prussia",1756,1955,"European GPs","spatial","positional",
23,"Austria-Russia","Austria","Russia",1768,1918,"European GPs","spatial","positional",
24,"Britain-Russia","Britain","Russia",1778,1956,"European GPs","positional",,
25,"Afghanistan-Iran 1","Afghanistan","Iran",1816,1937,"Central Asia","spatial",,
27,"Britain-United States","Britain","United States",1816,1904,"North America","positional","spatial",
26,"Britain-Burma","Britain","Burma",1816,1826,"South Asia","spatial","positional",
28,"Burma-Thailand","Burma","Thailand",1816,1826,"Southeast Asia","spatial","positional",
29,"China-Russia 1","China","Russia",1816,1949,"East Asia","positional","spatial",
30,"Iran-Ottoman Empire","Iran","Ottoman Empire",1816,1932,"Southwest Eurasia","spatial",,
31,"Iran-Russia","Iran","Russia",1816,1828,"Southwest Eurasia","spatial",,
32,"Spain-United States","Spain","United States",1816,1819,"North America","spatial","positional",
33,"Thailand-Vietnam 1","Thailand","Vietnam",1816,1884,"Southeast Asia","positional","spatial",
34,"Argentina-Brazil","Argentina","Brazil",1817,1985,"South America","positional","spatial",
35,"Mexico-United States","Mexico","United States",1821,1848,"Central America","spatial",,
36,"Bolivia-Peru","Bolivia","Peru",1825,1932,"South America","spatial","positional",
37,"Colombia-Peru","Colombia","Peru",1827,1935,"South America","spatial",,
38,"Greece-Ottoman Empire","Greece","Ottoman Empire",1827,1930,"Southeast Europe","positional","spatial",
39,"Egypt-Ottoman Empire","Egypt","Ottoman Empire",1828,1841,"Mashriq","spatial","positional",
42,"Colombia-Ecuador","Colombia","Ecuador",1830,1919,"South America","spatial",,
40,"Ecuador-Peru","Ecuador","Peru",1830,1998,"South America","spatial",,
41,"France-United States","France","United States",1830,1871,"North America/Central America","positional","spatial",
43,"Colombia-Venezuela","Colombia","Venezuela",1831,2010,"South America","spatial","ideological",
44,"Chile-Peru","Chile","Peru",1832,1929,"South America","positional","spatial",
45,"Bolivia-Chile","Bolivia","Chile",1836,2010,"South America","spatial",,
46,"Britain-China","Britain","China",1839,1900,"East Asia","spatial","positional",
47,"El Salvador-Honduras","El Salvador","Honduras",1840,1992,"Central America","ideological","spatial","interventionary"
48,"Costa Rica-Nicaragua 1","Costa Rica","Nicaragua",1842,1858,"Central America","ideological","spatial",
49,"El Salvador-Guatemala","El Salvador","Guatemala",1842,1906,"Central America","ideological","interventionary",
50,"Guatemala-Mexico","Guatemala","Mexico",1842,1882,"Central America","spatial",,
51,"Argentina-Chile","Argentina","Chile",1843,1991,"South America","positional","spatial",
52,"Honduras-Nicaragua 1","Honduras","Nicaragua",1844,1961,"Central America","ideological","spatial","interventionary"
53,"Dominican Republic-Haiti","Dominican Republic","Haiti",1845,1893,"Caribbean","spatial",,
54,"Austria-Italy","Austria","Italy",1847,1918,"European GPs","spatial","positional",
55,"Guatemala-Honduras","Guatemala","Honduras",1850,1930,"Central America","ideological","spatial","interventionary"
56,"Guatemala-Nicaragua","Guatemala","Nicaragua",1855,1907,"Central America","ideological","interventionary",
57,"China-France","China","France",1858,1900,"East Asia","positional","spatial",
58,"France-Vietnam","France","Vietnam",1858,1884,"Southeast Asia","spatial",,
60,"Argentina-Paraguay","Argentina","Paraguay",1862,1870,"South America","positional","spatial",
59,"Brazil-Paraguay","Brazil","Paraguay",1862,1870,"South America","positional","spatial",
61,"Egypt-Ethiopia","Egypt","Ethiopia",1868,1882,"East Africa","spatial","positional",
62,"China-Japan 1","China","Japan",1873,1945,"East Asia","positional","spatial",
65,"Bulgaria-Romania","Bulgaria","Romania",1878,1945,"Eastern Europe","spatial",,
63,"Bulgaria-Greece","Bulgaria","Greece",1878,1947,"Southeast Europe","spatial","positional",
64,"Bulgaria-Ottoman Empire","Bulgaria","Ottoman Empire",1878,1950,"Southeast Europe","spatial",,
66,"Bulgaria-Serbia","Bulgaria","Serbia",1878,1955,"Southeast Europe","spatial",,
67,"Ottoman Empire-Serbia","Ottoman Empire","Serbia",1878,1918,"Southeast Europe","spatial",,
68,"Greece-Serbia","Greece","Serbia",1879,1953,"Southeast Europe","spatial",,
69,"France-Italy","France","Italy",1881,1940,"European GPs","spatial","positional",
70,"Ethiopia-Italy","Ethiopia","Italy",1882,1943,"East Africa","spatial",,
71,"Italy-Ottoman Empire","Italy","Ottoman Empire",1884,1943,"Southeast Europe","positional","spatial",
72,"Bolivia-Paraguay","Bolivia","Paraguay",1887,1938,"South America","spatial",,
73,"Germany-United States","Germany","United States",1889,1918,"North America","positional",,
74,"Germany-Russia 2","Germany","Russia",1890,1945,"European GPs","spatial","positional",
75,"Japan-Russia","Japan","Russia",1894,1945,"East Asia","positional","spatial",
76,"Britain-Germany 1","Britain","Germany",1896,1918,"European GPs","positional","spatial",
77,"China-Germany","China","Germany",1897,1900,"East Asia","spatial",,
78,"Japan-United States","Japan","United States",1898,1945,"East Asia","positional","spatial",
79,"Austria-Serbia","Austria","Serbia",1903,1920,"Southeast Europe","positional","spatial",
80,"Albania-Greece","Albania","Greece",1913,1996,"Southeast Europe","spatial",,
81,"Germany-Poland","Germany","Poland",1918,1939,"Eastern Europe","spatial",,
82,"Hungary-Romania","Hungary","Romania",1918,1948,"Eastern Europe","spatial",,
83,"Hungary-Serbia","Hungary","Serbia",1918,1945,"Eastern Europe","spatial",,
84,"Italy-Serbia","Italy","Serbia",1918,1954,"Southeast Europe","positional","spatial",
85,"Poland-Russia","Poland","Russia",1918,1939,"Eastern Europe","spatial",,
86,"Lithuania-Poland","Lithuania","Poland",1919,1939,"Eastern Europe","spatial",,
87,"Czechoslovakia-Hungary","Czechoslovakia","Hungary",1920,1938,"Eastern Europe","spatial",,
88,"Czechoslovakia-Poland","Czechoslovakia","Poland",1920,1938,"Eastern Europe","spatial",,
89,"Costa Rica-Panama","Costa Rica","Panama",1921,1941,"Central America","spatial",,
90,"Britain-Japan","Britain","Japan",1932,1945,"East Asia","positional","spatial",
91,"Iran-Iraq 1","Iran","Iraq",1932,1939,"Gulf","positional","spatial",
92,"Iraq-Saudi Arabia 1","Iraq","Saudi Arabia",1932,1957,"Gulf","positional","spatial",
93,"Saudi Arabia-Yemen 1","Saudi Arabia","Yemen",1932,1934,"Gulf","spatial",,
94,"Czechoslovakia-Germany","Czechoslovakia","Germany",1933,1938,"Eastern Europe","spatial",,
95,"Germany-United States 2","Germany","United States",1933,1945,"Multiple","positional",,
96,"Britain-Germany 2","Britain","Germany",1934,1945,"European GPs","positional","ideological",
97,"Britain-Italy","Britain","Italy",1934,1943,"European GPs","positional","ideological",
98,"Egypt-Iraq","Egypt","Iraq",1943,2010,"Mashriq","positional",,
99,"Russia-United States 1","Russia","United States",1945,1989,"Global","positional","ideological",
100,"Egypt-Jordan","Egypt","Jordan",1946,1970,"Mashriq","positional",,
101,"Iraq-Syria","Iraq","Syria",1946,2010,"Mashriq","positional",,
102,"Jordan-Saudi Arabia","Jordan","Saudi Arabia",1946,1958,"Mashriq","positional","spatial",
103,"Jordan-Syria","Jordan","Syria",1946,2010,"Mashriq","ideological","positional",
104,"Syria-Turkey","Syria","Turkey",1946,2004,"Southwest Eurasia","spatial",,
105,"Afghanistan-Pakistan","Afghanistan","Pakistan",1947,2010,"Central Asia","spatial","interventionary",
106,"India-Pakistan","India","Pakistan",1947,2010,"South Asia","positional","spatial",
107,"China-India","China","India",1948,2010,"South Asia","positional","spatial",
108,"Costa Rica-Nicaragua 2","Costa Rica","Nicaragua",1948,1990,"Central America","ideological",,
109,"Egypt-Israel","Egypt","Israel",1948,2010,"Mashriq","positional","spatial",
110,"Iraq-Israel","Iraq","Israel",1948,2010,"Mashriq","positional",,
111,"Israel-Jordan","Israel","Jordan",1948,1994,"Mashriq","spatial","positional",
112,"Israel-Syria","Israel","Syria",1948,2010,"Mashriq","positional","spatial",
113,"North Korea-South Korea","North Korea","South Korea",1948,2010,"Northeast Asia","positional","ideological",
114,"Russia-Serbia","Russia","Serbia",1948,1955,"Southeast Europe","positional","ideological",
115,"China-Taiwan","China","Taiwan",1949,2010,"East Asia","positional","spatial","ideological"
116,"China-United States 1","China","United States",1949,1972,"East Asia","ideological","positional",
117,"West Germany-East Germany","West Germany","East Germany",1949,1973,"Eastern Europe","ideological","positional","spatial"
118,"Indonesia-Netherlands","Indonesia","Netherlands",1951,1962,"Southeast Asia","spatial",,
119,"North Vietnam-South Vietnam","North Vietnam","South Vietnam",1954,1975,"Southeast Asia","ideological","positional",
120,"Thailand-Vietnam 2","Thailand","Vietnam",1954,1988,"Southeast Asia","ideological","positional",
121,"Egypt-Iran 1","Egypt","Iran",1955,1971,"Mashriq","positional","ideological",
122,"Greece-Turkey 2","Greece","Turkey",1955,2010,"Southeast Europe","positional","spatial",
123,"Cambodia-South Vietnam","Cambodia","South Vietnam",1956,1975,"Southeast Asia","spatial",,
124,"Morocco-Spain","Morocco","Spain",1956,1991,"North Africa","spatial",,
125,"Egypt-Saudi Arabia","Egypt","Saudi Arabia",1957,1970,"Mashriq/Gulf","ideological","positional",
126,"China-Russia 2","China","Russia",1958,1989,"East Asia","ideological","positional","spatial"
127,"Iran-Iraq 2","Iran","Iraq",1958,2010,"Gulf","positional","spatial",
128,"Cuba-United States","Cuba","United States",1959,2010,"Caribbean","ideological","positional",
129,"Burkina Faso-Mali","Burkina Faso","Mali",1960,1986,"West Africa","ideological","spatial",
130,"Ethiopia-Somalia","Ethiopia","Somalia",1960,2010,"East Africa","spatial","interventionary",
131,"Ghana-Ivory Coast","Ghana","Ivory Coast",1960,1970,"West Africa","ideological","positional","spatial"
132,"Ghana-Nigeria","Ghana","Nigeria",1960,1966,"West Africa","positional","interventionary",
133,"Ghana-Togo","Ghana","Togo",1960,1995,"West Africa","spatial",,
134,"Mauritania-Morocco","Mauritania","Morocco",1960,1969,"West Africa","spatial","positional",
135,"Egypt-Syria","Egypt","Syria",1961,1990,"Mashriq","positional",,
136,"Iraq-Kuwait","Iraq","Kuwait",1961,2010,"Gulf","spatial",,
137,"Saudi Arabia-Syria","Saudi Arabia","Syria",1961,1970,"Mashriq","ideological","positional",
138,"Algeria-Morocco","Algeria","Morocco",1962,2010,"North Africa","ideological","positional","spatial"
139,"Burundi-Rwanda","Burundi","Rwanda",1962,1966,"East Africa","interventionary",,
140,"Indonesia-Malaysia","Indonesia","Malaysia",1962,1966,"Southeast Asia","positional","spatial","ideological"
141,"Kenya-Somalia","Kenya","Somalia",1963,1981,"East Africa","spatial",,
142,"Sudan-Uganda 1","Sudan","Uganda",1963,1972,"East Africa","interventionary",,
143,"Chad-Sudan 1","Chad","Sudan",1964,1969,"East Africa","interventionary",,
144,"Malawi-Tanzania","Malawi","Tanzania",1964,1994,"Central Africa","spatial","ideological",
145,"Malawi-Zambia","Malawi","Zambia",1964,1986,"Central Africa","spatial","ideological",
146,"Argentina-Great Britain","Argentina","Great Britain",1965,2010,"South America","spatial",,
147,"Ethiopia-Sudan","Ethiopia","Sudan",1965,2010,"East Africa","interventionary",,
148,"Malaysia-Singapore","Malaysia","Singapore",1965,2010,"Southeast Asia","positional","spatial",
149,"Rhodesia-Zambia","Rhodesia","Zambia",1965,1979,"Southern Africa","interventionary","ideological",
150,"South Africa-Zambia","South Africa","Zambia",1965,1991,"Southern Africa","interventionary","ideological",
151,"Chad-Libya","Chad","Libya",1966,1994,"East Africa","spatial","positional","interventionary"
152,"Guyana-Venezuela","Guyana","Venezuela",1966,2010,"South America","ideological","spatial",
153,"South Yemen-Yemen","South Yemen","Yemen",1967,1990,"Gulf","ideological","spatial",
154,"Iraq-Saudi Arabia 2","Iraq","Saudi Arabia",1968,2010,"Gulf","positional",,
155,"Tanzania-Uganda","Tanzania","Uganda",1971,1979,"East Africa","ideological","spatial",
156,"Equatorial Guinea-Gabon","Equatorial Guinea","Gabon",1972,2010,"Central Africa","spatial",,
157,"Oman-South Yemen","Oman","South Yemen",1972,1982,"Gulf","ideological","spatial",
158,"China-Vietnam","China","Vietnam",1973,1991,"Southeast Asia","positional","spatial",
159,"Egypt-Libya","Egypt","Libya",1973,1992,"North Africa","ideological","positional",
160,"Libya-Sudan","Libya","Sudan",1973,1985,"North Africa","ideological","positional",
161,"Angola-Democratic Republic of Congo","Angola","Democratic Republic of Congo",1975,1997,"Central Africa","ideological","positional","spatial"
162,"Angola-South Africa","Angola","South Africa",1975,1988,"Southern Africa","ideological","positional","interventionary"
163,"Cameroon-Nigeria","Cameroon","Nigeria",1975,2010,"West Africa","spatial",,
164,"Mozambique-Rhodesia","Mozambique","Rhodesia",1975,1979,"Southern Africa","interventionary","ideological",
165,"Cambodia-Vietnam","Cambodia","Vietnam",1976,1983,"Southeast Asia","spatial","ideological",
166,"Mozambique-South Africa","Mozambique","South Africa",1976,1991,"Southern Africa","ideological","interventionary",
167,"Colombia-Nicaragua","Colombia","Nicaragua",1979,1990,"Central America","spatial",,
168,"Egypt-Iran 2","Egypt","Iran",1979,2010,"Mashriq","positional","ideological",
170,"Iran-Saudi Arabia","Iran","Saudi Arabia",1979,2010,"Gulf","positional","ideological",
169,"Iran-Israel","Iran","Israel",1979,2010,"Mashriq","positional",,
171,"Honduras-Nicaragua 2","Honduras","Nicaragua",1980,1987,"Central America","ideological","interventionary",
172,"South Africa-Zimbabwe","South Africa","Zimbabwe",1980,1992,"Southern Africa","ideological","interventionary",
173,"Belize-Guatemala","Belize","Guatemala",1981,1991,"Central America","spatial",,
174,"Bahrain-Qatar","Bahrain","Qatar",1986,2001,"Gulf","spatial",,
175,"Kenya-Uganda","Kenya","Uganda",1987,1994,"East Africa","positional","interventionary",
176,"Guinea Bissau-Senegal","Guinea Bissau","Senegal",1989,1993,"West Africa","spatial",,
177,"Kenya-Sudan","Kenya","Sudan",1989,1994,"East Africa","spatial","interventionary",
178,"Mauritania-Senegal","Mauritania","Senegal",1989,1995,"West Africa","spatial","interventionary",
179,"Saudi Arabia-Yemen 2","Saudi Arabia","Yemen",1990,2000,"Gulf","spatial","positional",
180,"Armenia-Azerbaijan","Armenia","Azerbaijan",1991,2010,"Southwest Eurasia","spatial",,
181,"Croatia-Serbia","Croatia","Serbia",1991,2002,"Southeast Europe","spatial",,
182,"Egypt-Sudan","Egypt","Sudan",1991,2010,"North Africa","spatial",,
183,"Kazakhstan-Uzbekistan","Kazakhstan","Uzbekistan",1991,2010,"Central Asia","positional","spatial",
184,"Bosnia-Croatia","Bosnia","Croatia",1992,2010,"Southeast Europe","spatial",,
185,"Bosnia-Serbia","Bosnia","Serbia",1992,2010,"Southeast Europe","spatial",,
186,"Eritrea-Sudan","Eritrea","Sudan",1993,2010,"East Africa","interventionary","ideological",
187,"Sudan-Uganda 2","Sudan","Uganda",1994,2010,"East Africa","interventionary",,
188,"Afghanistan-Iran 2","Afghanistan","Iran",1996,2001,"Central Asia","spatial","ideological","interventionary"
189,"China-Japan 2","China","Japan",1996,2010,"East Asia","positional","spatial",
190,"China-United States 2","China","United States",1996,2010,"East Asia","positional",,
192,"Democratic Republic of Congo-Rwanda","Democratic Republic of Congo","Rwanda",1996,2009,"Central Africa","interventionary",,
193,"Democratic Republic of Congo-Uganda","Democratic Republic of Congo","Uganda",1996,2009,"Central Africa","interventionary",,
191,"Djibouti-Eritrea","Djibouti","Eritrea",1996,2010,"East Africa","spatial",,
194,"Eritrea-Ethiopia","Eritrea","Ethiopia",1998,2010,"East Africa","spatial",,
195,"Rwanda-Uganda","Rwanda","Uganda",1999,2009,"Central Africa","interventionary",,
196,"Chad-Sudan 2","Chad","Sudan",2004,2010,"East Africa","interventionary",,
197,"Russia-United States 2","Russia","United States",2007,2010,"Multiple","positional",,